run_index	check_id	result	detail	artifact
1	BL076-SM-qa-bl009-headphone-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-contract-mac.sh
1	BL076-SM-qa-bl009-headphone-profile-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-profile-contract-mac.sh
1	BL076-SM-qa-bl018-ambisonic-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-ambisonic-contract-mac.sh
1	BL076-SM-qa-bl018-profile-matrix-strict-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-profile-matrix-strict-mac.sh
1	BL076-SM-qa-bl052-steam-audio-virtual-surround-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl052-steam-audio-virtual-surround-mac.sh
1	BL076-SM-qa-bl053-head-tracking-orientation-injection-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl053-head-tracking-orientation-injection-mac.sh
1	BL076-SM-qa-bl069-rt-safe-preset-pipeline-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl069-rt-safe-preset-pipeline-mac.sh
1	BL076-SM-signature-hash	PASS	baseline signature hash=1be1ab8438462d07bf8fa216d6bcf5637fa7e209859b344670d037a4bd6fc71f	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
1	BL076-SM-module-inventory	PASS	baseline module inventory hash=ee298e342448996314290b5e7fd0628bcd20a700a2249c48b4b5eed76a5aaae6	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
2	BL076-SM-qa-bl009-headphone-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-contract-mac.sh
2	BL076-SM-qa-bl009-headphone-profile-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-profile-contract-mac.sh
2	BL076-SM-qa-bl018-ambisonic-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-ambisonic-contract-mac.sh
2	BL076-SM-qa-bl018-profile-matrix-strict-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-profile-matrix-strict-mac.sh
2	BL076-SM-qa-bl052-steam-audio-virtual-surround-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl052-steam-audio-virtual-surround-mac.sh
2	BL076-SM-qa-bl053-head-tracking-orientation-injection-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl053-head-tracking-orientation-injection-mac.sh
2	BL076-SM-qa-bl069-rt-safe-preset-pipeline-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl069-rt-safe-preset-pipeline-mac.sh
2	BL076-SM-signature-hash	PASS	signature stable vs baseline 1be1ab8438462d07bf8fa216d6bcf5637fa7e209859b344670d037a4bd6fc71f	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
2	BL076-SM-module-inventory	PASS	module inventory stable vs baseline ee298e342448996314290b5e7fd0628bcd20a700a2249c48b4b5eed76a5aaae6	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
3	BL076-SM-qa-bl009-headphone-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-contract-mac.sh
3	BL076-SM-qa-bl009-headphone-profile-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-profile-contract-mac.sh
3	BL076-SM-qa-bl018-ambisonic-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-ambisonic-contract-mac.sh
3	BL076-SM-qa-bl018-profile-matrix-strict-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-profile-matrix-strict-mac.sh
3	BL076-SM-qa-bl052-steam-audio-virtual-surround-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl052-steam-audio-virtual-surround-mac.sh
3	BL076-SM-qa-bl053-head-tracking-orientation-injection-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl053-head-tracking-orientation-injection-mac.sh
3	BL076-SM-qa-bl069-rt-safe-preset-pipeline-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl069-rt-safe-preset-pipeline-mac.sh
3	BL076-SM-signature-hash	PASS	signature stable vs baseline 1be1ab8438462d07bf8fa216d6bcf5637fa7e209859b344670d037a4bd6fc71f	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
3	BL076-SM-module-inventory	PASS	module inventory stable vs baseline ee298e342448996314290b5e7fd0628bcd20a700a2249c48b4b5eed76a5aaae6	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
4	BL076-SM-qa-bl009-headphone-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-contract-mac.sh
4	BL076-SM-qa-bl009-headphone-profile-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl009-headphone-profile-contract-mac.sh
4	BL076-SM-qa-bl018-ambisonic-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-ambisonic-contract-mac.sh
4	BL076-SM-qa-bl018-profile-matrix-strict-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl018-profile-matrix-strict-mac.sh
4	BL076-SM-qa-bl052-steam-audio-virtual-surround-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl052-steam-audio-virtual-surround-mac.sh
4	BL076-SM-qa-bl053-head-tracking-orientation-injection-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl053-head-tracking-orientation-injection-mac.sh
4	BL076-SM-qa-bl069-rt-safe-preset-pipeline-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/qa-bl069-rt-safe-preset-pipeline-mac.sh
